Year,Inflows_B,Outlays_B,Balance_B,Cumulative_B,UHAA_Payroll_B,Employer_MOE_B,HI_Payroll_B,Medicare_BD_B,Medicaid_MOE_B,Copays_B
2026,5450.5,5389.0,61.5,61.5,2617.0,665.3,413.0,750.0,950.0,55.2
2027,5841.0,5642.3,198.7,260.2,2734.765,869.1,431.585,771.750,977.550,56.304
2028,6256.136,5851.0,405.136,665.336,2857.829,1089.841,451.006,794.131,1005.899,57.430
2029,6507.426,6067.5,439.926,1105.262,2986.432,1138.884,471.302,817.161,1035.070,58.579
2030,6769.160,6292.0,477.160,1582.422,3120.821,1190.134,492.510,840.858,1065.087,59.750
2031,7041.784,6493.4,548.384,2130.806,3261.258,1243.690,514.673,865.243,1095.975,60.945
2032,7325.761,6701.2,624.561,2755.367,3408.015,1299.656,537.833,890.335,1127.758,62.164
2033,7621.577,6915.6,705.977,3461.344,3561.375,1358.140,562.036,916.155,1160.463,63.407
2034,7929.736,7136.9,792.836,4254.180,3721.637,1419.256,587.328,942.723,1194.116,64.676
2035,8250.768,7365.3,885.468,5139.648,3889.111,1483.123,613.757,970.062,1228.746,65.969
